iter	Passed	Remaining
0	276	138148
1	399	99416
2	519	85992
3	644	79922
4	770	76328
5	913	75187
6	1037	73040
7	1167	71799
8	1284	70091
9	1418	69519
10	1550	68944
11	1686	68582
12	1819	68144
13	1944	67512
14	2053	66384
15	2170	65647
16	2279	64752
17	2396	64176
18	2514	63655
19	2632	63169
20	2685	61249
21	2810	61057
22	2928	60742
23	3046	60412
24	3185	60523
25	3316	60461
26	3449	60434
27	3586	60451
28	3714	60322
29	3848	60296
30	3998	60493
31	4141	60569
32	4271	60449
33	4399	60297
34	4532	60217
35	4696	60536
36	4883	61115
37	5053	61437
38	5187	61322
39	5319	61175
40	5451	61032
41	5585	60908
42	5717	60768
43	5850	60637
44	5907	59734
45	6064	59851
46	6202	59780
47	6347	59769
48	6488	59716
49	6644	59797
50	6789	59773
51	6928	59690
52	7063	59569
53	7195	59426
54	7318	59211
55	7447	59049
56	7600	59070
57	7750	59060
58	7904	59080
59	8045	58998
60	8182	58883
61	8312	58725
62	8445	58581
63	8577	58432
64	8720	58357
65	8860	58262
66	9006	58208
67	9142	58083
68	9273	57925
69	9406	57780
70	9526	57558
71	9651	57371
72	9787	57247
73	9925	57136
74	10060	57007
75	10196	56887
76	10318	56686
77	10444	56505
78	10563	56293
79	10690	56125
80	10827	56008
81	10966	55902
82	11109	55813
83	11241	55674
84	11373	55529
85	11531	55511
86	11663	55365
87	11804	55266
88	11993	55384
89	12160	55396
90	12316	55354
91	12493	55405
92	12643	55330
93	12810	55329
94	12971	55298
95	13112	55181
96	13259	55089
97	13400	54970
98	13563	54939
99	13719	54876
100	13884	54849
101	14033	54757
102	14167	54605
103	14325	54546
104	14475	54453
105	14672	54538
106	14916	54786
107	15123	54892
108	15294	54862
109	15450	54779
110	15612	54712
111	15764	54613
112	15929	54554
113	16091	54484
114	16248	54398
115	16394	54271
116	16550	54178
117	16705	54080
118	16862	53986
119	17016	53886
120	17172	53786
121	17324	53676
122	17470	53549
123	17613	53409
124	17775	53325
125	17922	53197
126	18054	53026
127	18191	52869
128	18323	52697
129	18452	52518
130	18587	52357
131	18720	52190
132	18855	52028
133	18984	51854
134	19111	51672
135	19229	51467
136	19367	51317
137	19499	51151
138	19627	50975
139	19760	50813
140	19899	50666
141	20023	50480
142	20149	50302
143	20274	50122
144	20395	49933
145	20527	49772
146	20664	49623
147	20807	49487
148	20948	49348
149	21095	49222
150	21245	49104
151	21351	48884
152	21495	48750
153	21632	48602
154	21779	48476
155	21916	48328
156	22044	48160
157	22176	48002
158	22305	47838
159	22425	47655
160	22548	47476
161	22673	47306
162	22817	47174
163	22941	47001
164	23065	46829
165	23185	46649
166	23305	46471
167	23423	46290
168	23541	46107
169	23670	45948
170	23812	45814
171	23945	45662
172	24071	45499
173	24203	45347
174	24326	45178
175	24445	45001
176	24580	44855
177	24741	44756
178	24909	44669
179	25043	44522
180	25175	44370
181	25312	44227
182	25440	44069
183	25577	43925
184	25704	43767
185	25865	43665
186	26034	43576
187	26177	43442
188	26323	43315
189	26496	43230
190	26641	43100
191	26796	42985
192	26961	42886
193	27103	42750
194	27237	42601
195	27376	42461
196	27525	42336
197	27662	42192
198	27824	42085
199	28011	42016
200	28175	41913
201	28352	41826
202	28527	41736
203	28698	41641
204	28873	41550
205	29020	41417
206	29179	41301
207	29327	41171
208	29467	41029
209	29699	41014
210	29905	40959
211	30122	40920
212	30312	40843
213	30504	40767
214	30708	40706
215	30882	40604
216	31047	40490
217	31209	40372
218	31365	40245
219	31532	40131
220	31692	40009
221	31869	39908
222	32016	39769
223	32169	39637
224	32316	39497
225	32486	39386
226	32637	39251
227	32802	39132
228	32944	38986
229	33097	38854
230	33249	38719
231	33394	38576
232	33551	38447
233	33707	38316
234	33869	38193
235	34022	38058
236	34165	37913
237	34307	37767
238	34444	37614
239	34584	37467
240	34761	37358
241	34949	37260
242	35086	37108
243	35223	36955
244	35359	36802
245	35510	36665
246	35658	36524
247	35815	36393
248	35956	36245
249	36097	36097
250	36238	35950
251	36382	35805
252	36555	35688
253	36718	35561
254	36889	35443
255	37041	35304
256	37210	35183
257	37378	35060
258	37561	34950
259	37786	34879
260	37956	34757
261	38115	34623
262	38264	34481
263	38410	34336
264	38551	34187
265	38705	34048
266	38855	33907
267	39000	33761
268	39135	33607
269	39275	33456
270	39408	33300
271	39545	33148
272	39683	32996
273	39840	32860
274	39997	32725
275	40141	32578
276	40272	32421
277	40417	32275
278	40568	32135
279	40712	31988
280	40863	31847
281	41003	31697
282	41144	31549
283	41373	31467
284	41532	31331
285	41703	31204
286	41859	31066
287	42006	30921
288	42147	30771
289	42289	30623
290	42432	30475
291	42575	30327
292	42719	30180
293	42862	30033
294	43003	29883
295	43145	29735
296	43278	29580
297	43421	29433
298	43565	29286
299	43703	29135
300	43856	28994
301	43995	28844
302	44176	28721
303	44329	28580
304	44499	28450
305	44732	28359
306	44968	28270
307	45162	28153
308	45309	28006
309	45461	27863
310	45608	27716
311	45774	27582
312	45948	27451
313	46097	27306
314	46254	27165
315	46413	27025
316	46563	26880
317	46729	26744
318	46886	26603
319	47034	26457
320	47190	26314
321	47344	26171
322	47497	26028
323	47680	25900
324	47851	25766
325	48009	25624
326	48171	25485
327	48324	25341
328	48478	25196
329	48637	25055
330	48810	24921
331	48966	24778
332	49118	24633
333	49260	24482
334	49415	24339
335	49579	24199
336	49737	24057
337	49913	23923
338	50090	23789
339	50245	23644
340	50389	23495
341	50537	23347
342	50679	23197
343	50822	23047
344	50960	22895
345	51117	22751
346	51267	22604
347	51411	22455
348	51559	22307
349	51701	22157
350	51839	22005
351	51978	21854
352	52122	21705
353	52251	21550
354	52370	21390
355	52501	21236
356	52627	21080
357	52768	20930
358	52897	20775
359	53021	20619
360	53146	20463
361	53281	20311
362	53408	20156
363	53536	20002
364	53677	19853
365	53838	19711
366	53972	19559
367	54101	19406
368	54226	19251
369	54362	19100
370	54483	18944
371	54639	18800
372	54805	18660
373	54976	18521
374	55107	18369
375	55231	18214
376	55362	18062
377	55497	17911
378	55639	17763
379	55783	17615
380	55925	17467
381	56076	17322
382	56233	17178
383	56409	17040
384	56653	16922
385	56855	16791
386	57001	16643
387	57143	16494
388	57270	16342
389	57419	16195
390	57562	16046
391	57707	15898
392	57848	15750
393	57984	15599
394	58124	15450
395	58256	15299
396	58395	15150
397	58529	15000
398	58677	14853
399	58840	14710
400	58976	14560
401	59123	14413
402	59261	14264
403	59429	14121
404	59607	13982
405	59802	13845
406	60000	13710
407	60211	13577
408	60417	13442
409	60619	13306
410	60870	13181
411	61119	13054
412	61294	12911
413	61456	12766
414	61625	12622
415	61803	12479
416	61978	12336
417	62136	12189
418	62296	12043
419	62457	11896
420	62649	11756
421	62862	11619
422	63057	11478
423	63212	11330
424	63356	11180
425	63513	11032
426	63669	10884
427	63852	10741
428	64016	10594
429	64172	10446
430	64394	10309
431	64633	10173
432	64856	10035
433	65087	9898
434	65267	9752
435	65453	9607
436	65642	9463
437	65814	9316
438	65995	9170
439	66193	9026
440	66382	8881
441	66574	8735
442	66771	8591
443	66993	8449
444	67230	8309
445	67481	8170
446	67705	8027
447	67935	7885
448	68094	7734
449	68253	7583
450	68404	7432
451	68556	7280
452	68716	7129
453	68862	6977
454	69019	6826
455	69172	6674
456	69321	6522
457	69458	6369
458	69611	6217
459	69769	6066
460	69922	5915
461	70076	5763
462	70211	5610
463	70360	5459
464	70519	5307
465	70671	5156
466	70832	5005
467	70988	4853
468	71136	4701
469	71282	4549
470	71438	4398
471	71591	4246
472	71740	4095
473	71900	3943
474	72061	3792
475	72280	3644
476	72447	3493
477	72642	3343
478	72850	3193
479	73038	3043
480	73220	2892
481	73411	2741
482	73648	2592
483	73832	2440
484	74008	2288
485	74210	2137
486	74372	1985
487	74653	1835
488	74900	1684
489	75080	1532
490	75229	1378
491	75388	1225
492	75558	1072
493	75728	919
494	75888	766
495	76054	613
496	76238	460
497	76415	306
498	76640	153
499	76816	0
